id,date,created_at,updated_at,shift_id,shift_type_id,user_id
,2023-09-10,2023-04-18 00:12:08.494,2023-04-18 00:12:08.494,6,1,7
,2023-09-11,2023-04-18 00:12:08.535,2023-04-18 00:12:08.535,6,1,7
,2023-09-15,2023-04-18 00:12:08.574,2023-04-18 00:12:08.574,6,1,7
,2023-09-16,2023-04-18 00:12:08.607,2023-04-18 00:12:08.607,6,1,7
,2023-09-17,2023-04-18 00:12:08.643,2023-04-18 00:12:08.643,6,1,7
,2023-09-18,2023-04-18 00:12:08.676,2023-04-18 00:12:08.676,6,1,7
,2023-09-23,2023-04-18 00:12:08.711,2023-04-18 00:12:08.711,6,1,7
,2023-09-24,2023-04-18 00:12:08.744,2023-04-18 00:12:08.744,6,1,7
,2023-09-25,2023-04-18 00:12:08.775,2023-04-18 00:12:08.775,6,1,7
,2023-09-29,2023-04-18 00:12:08.810,2023-04-18 00:12:08.810,6,1,7
,2023-09-30,2023-04-18 00:12:08.841,2023-04-18 00:12:08.841,6,1,7
,2023-09-31,2023-04-18 00:12:08.876,2023-04-18 00:12:08.876,6,1,7
,2023-09-01,2023-04-18 00:15:17.247,2023-04-18 00:15:17.247,9,1,8
,2023-09-05,2023-04-18 00:15:17.278,2023-04-18 00:15:17.278,9,1,8
,2023-09-06,2023-04-18 00:15:17.313,2023-04-18 00:15:17.313,9,1,8
,2023-09-07,2023-04-18 00:15:17.345,2023-04-18 00:15:17.345,9,1,8
,2023-09-12,2023-04-18 00:15:17.378,2023-04-18 00:15:17.378,9,1,8
,2023-09-13,2023-04-18 00:15:17.410,2023-04-18 00:15:17.410,9,1,8
,2023-09-14,2023-04-18 00:15:17.442,2023-04-18 00:15:17.442,9,1,8
,2023-09-15,2023-04-18 00:15:17.475,2023-04-18 00:15:17.475,9,1,8
,2023-09-19,2023-04-18 00:15:17.509,2023-04-18 00:15:17.509,9,1,8
,2023-09-20,2023-04-18 00:15:17.541,2023-04-18 00:15:17.541,9,1,8
,2023-09-21,2023-04-18 00:15:17.577,2023-04-18 00:15:17.577,9,1,8
,2023-09-31,2023-04-18 00:15:17.673,2023-04-18 00:15:17.673,9,1,8
,2023-09-06,2023-04-18 00:22:00.408,2023-04-18 00:22:00.408,2,1,9
,2023-09-07,2023-04-18 00:22:00.456,2023-04-18 00:22:00.456,2,1,9
,2023-09-08,2023-04-18 00:22:00.501,2023-04-18 00:22:00.501,2,1,9
,2023-09-26,2023-04-18 00:22:00.550,2023-04-18 00:22:00.550,2,1,9
,2023-09-27,2023-04-18 00:22:00.596,2023-04-18 00:22:00.596,2,1,9
,2023-09-28,2023-04-18 00:22:00.645,2023-04-18 00:22:00.645,2,1,9
,2023-09-29,2023-04-18 00:22:00.697,2023-04-18 00:22:00.697,2,1,9
,2023-09-06,2023-04-18 00:25:16.412,2023-04-18 00:25:16.412,4,1,10
,2023-09-07,2023-04-18 00:25:16.444,2023-04-18 00:25:16.444,4,1,10
,2023-09-08,2023-04-18 00:25:16.484,2023-04-18 00:25:16.484,4,1,10
,2023-09-13,2023-04-18 00:25:16.517,2023-04-18 00:25:16.517,4,1,10
